Dataset A,Dataset B,Spearman rho,p-value
CIC17,CIC18_FRIDAY-2,0.9576,3.6237e-11
CIC17,CIC18_THURSDAY-1,0.9803,3.9465e-14
CIC17,CIC18_THURSDAY-2,0.9561,4.9419e-11
CIC17,CIC18_THURSDAY-3,0.8333,5.0599e-06
CIC17,CIC18_TUESDAY,0.9636,9.2526e-12
CIC17,CIC18_WEDNESDAY-1,0.9758,2.5156e-13
CIC17,CIC18_WEDNESDAY-2,0.7318,2.4490e-04
CIC17,CIC18_WEDNESDAY-3,0.8439,2.9169e-06
CIC18_FRIDAY-2,CIC18_THURSDAY-1,0.9909,3.8974e-17
CIC18_FRIDAY-2,CIC18_THURSDAY-2,0.9985,3.9745e-24
CIC18_FRIDAY-2,CIC18_THURSDAY-3,0.8227,8.4612e-06
CIC18_FRIDAY-2,CIC18_TUESDAY,0.997,2.0239e-21
CIC18_FRIDAY-2,CIC18_WEDNESDAY-1,0.9924,7.5948e-18
CIC18_FRIDAY-2,CIC18_WEDNESDAY-2,0.7682,7.6353e-05
CIC18_FRIDAY-2,CIC18_WEDNESDAY-3,0.8318,5.4572e-06
CIC18_THURSDAY-1,CIC18_THURSDAY-2,0.9894,1.5521e-16
CIC18_THURSDAY-1,CIC18_THURSDAY-3,0.8197,9.7401e-06
CIC18_THURSDAY-1,CIC18_TUESDAY,0.9924,7.5948e-18
CIC18_THURSDAY-1,CIC18_WEDNESDAY-1,0.9955,7.7380e-20
CIC18_THURSDAY-1,CIC18_WEDNESDAY-2,0.7485,1.4702e-04
CIC18_THURSDAY-1,CIC18_WEDNESDAY-3,0.8288,6.3340e-06
CIC18_THURSDAY-2,CIC18_THURSDAY-3,0.8273,6.8165e-06
CIC18_THURSDAY-2,CIC18_TUESDAY,0.9955,7.7380e-20
CIC18_THURSDAY-2,CIC18_WEDNESDAY-1,0.9909,3.8974e-17
CIC18_THURSDAY-2,CIC18_WEDNESDAY-2,0.7591,1.0410e-04
CIC18_THURSDAY-2,CIC18_WEDNESDAY-3,0.8379,4.0150e-06
CIC18_THURSDAY-3,CIC18_TUESDAY,0.8152,1.1973e-05
CIC18_THURSDAY-3,CIC18_WEDNESDAY-1,0.8152,1.1973e-05
CIC18_THURSDAY-3,CIC18_WEDNESDAY-2,0.7576,1.0947e-04
CIC18_THURSDAY-3,CIC18_WEDNESDAY-3,0.9924,7.5948e-18
CIC18_TUESDAY,CIC18_WEDNESDAY-1,0.9924,7.5948e-18
CIC18_TUESDAY,CIC18_WEDNESDAY-2,0.7818,4.6705e-05
CIC18_TUESDAY,CIC18_WEDNESDAY-3,0.8273,6.8165e-06
CIC18_WEDNESDAY-1,CIC18_WEDNESDAY-2,0.7576,1.0947e-04
CIC18_WEDNESDAY-1,CIC18_WEDNESDAY-3,0.8197,9.7401e-06
CIC18_WEDNESDAY-2,CIC18_WEDNESDAY-3,0.7515,1.3344e-04
