,CIC17,CIC18_FRIDAY-2,CIC18_THURSDAY-1,CIC18_THURSDAY-2,CIC18_THURSDAY-3,CIC18_TUESDAY,CIC18_WEDNESDAY-1,CIC18_WEDNESDAY-2,CIC18_WEDNESDAY-3,Avg Rank,Std
Bwd Packet Length Mean,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.33,0.5
Bwd Packet Length Std,1.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,1.0,2.44,2.51
Fwd Header Length,6.0,3.0,3.0,3.0,10.0,3.0,3.0,8.0,10.0,5.44,3.13
Bwd Packets/s,4.0,6.0,5.0,6.0,4.0,6.0,5.0,11.0,4.0,5.67,2.18
Subflow Fwd Packets,9.0,4.0,7.0,4.0,7.0,5.0,6.0,6.0,7.0,6.11,1.62
Subflow Bwd Bytes,7.0,8.0,8.0,8.0,5.0,7.0,9.0,3.0,3.0,6.44,2.24
Total Length of Fwd Packets,3.0,5.0,4.0,5.0,13.0,4.0,4.0,7.0,13.0,6.44,3.88
Packet Length Variance,5.0,7.0,6.0,7.0,6.0,8.0,7.0,13.0,6.0,7.22,2.33
Average Packet Size,8.0,9.0,9.0,9.0,8.0,9.0,8.0,2.0,9.0,7.89,2.26
Total Backward Packets,12.0,12.0,12.0,12.0,3.0,12.0,12.0,5.0,5.0,9.44,3.88
Packet Length Std,10.0,10.0,10.0,11.0,12.0,10.0,10.0,4.0,12.0,9.89,2.37
Bwd Header Length,11.0,11.0,11.0,10.0,9.0,11.0,11.0,10.0,8.0,10.22,1.09
Fwd IAT Std,13.0,13.0,13.0,13.0,11.0,13.0,13.0,12.0,11.0,12.44,0.88
Packet Length Mean,15.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.22,0.44
Bwd Packet Length Max,16.0,15.0,15.0,15.0,16.0,15.0,16.0,14.0,16.0,15.33,0.71
Max Packet Length,14.0,16.0,16.0,16.0,15.0,16.0,15.0,16.0,15.0,15.44,0.73
Avg Bwd Segment Size,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0.0
Total Length of Bwd Packets,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0.0
Total Fwd Packets,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0.0
Subflow Bwd Packets,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0.0
